"ID";"cond";"count"
4;"B";1
4;"B";2
4;"B";3
4;"B";4
4;"B";5
4;"B";6
4;"B";7
4;"B";8
4;"B";9
4;"B";10
4;"B";11
4;"B";12
4;"B";13
4;"B";14
4;"B";15
4;"B";16
4;"B";17
4;"B";18
4;"B";19
4;"B";20
4;"B";21
4;"B";22
4;"B";23
4;"B";24
4;"B";25
4;"B";26
4;"B";27
4;"B";28
4;"B";29
4;"B";30
4;"B";31
4;"B";32
4;"B";33
4;"B";34
4;"B";35
4;"B";36
4;"B";37
4;"B";38
4;"B";39
4;"B";40
4;"B";41
4;"B";42
4;"B";43
4;"B";44
4;"B";45
4;"B";46
4;"B";47
4;"B";48
4;"B";49
4;"B";50
4;"B";51
4;"B";52
4;"B";53
4;"B";54
4;"B";55
4;"B";56
4;"B";57
4;"B";58
4;"B";59
4;"B";60
4;"B";61
4;"B";62
4;"B";63
4;"B";64
4;"B";65
4;"B";66
4;"B";67
4;"B";68
4;"B";69
4;"B";70
4;"B";71
4;"B";72
4;"B";73
4;"B";74
4;"B";75
4;"B";76
4;"B";77
4;"B";78
4;"B";79
4;"B";80
4;"B";81
4;"B";82
4;"B";83
4;"B";84
4;"B";85
4;"B";86
4;"B";87
4;"B";88
4;"B";89
4;"B";90
4;"B";91
4;"B";92
4;"B";93
4;"B";94
4;"B";95
4;"B";96
4;"B";97
4;"B";98
4;"B";99
4;"B";100
